NumLimbsMissing,NumLimbsRegenerating,Vitellogenic,Gravid,TempC,VO2_ml_per_h,weight,Sex
0,0,0,0,38.72222222,0.184870373,0.08349,F
0,0,0,0,34.44444444,0.183947751,0.08538,F
0,0,0,0,37.22222222,0.138106453,0.09628,F
0,0,0,0,38.72222222,0.29533245,0.1022,F
0,0,0,0,37.77777778,0.203261113,0.11778,F
0,0,1,0,37.77777778,0.185925495,0.15635,F
2,1,1,0,32.38888889,0.464267148,0.16956,F
0,0,1,0,32.38888889,0.459521188,0.17386,F
1,0,1,0,26.05555556,0.437857064,0.20631,F
0,0,1,0,28.16666667,0.400015215,0.21744,F
1,1,0,1,25.44444444,0.386009142,0.21779,F
0,0,0,0,26.33333333,0.403678119,0.22945,F
0,0,1,0,32.38888889,0.666124591,0.24015,F
0,0,0,0,32.38888889,0.573391921,0.24198,F
0,0,0,0,26.33333333,0.428032761,0.25517,F
0,0,1,0,26.05555556,0.414745828,0.25523,F
0,0,0,0,26,0.275986082,0.25883,F
0,0,1,0,26.77777778,0.508804387,0.28188,F
0,0,1,0,27.83333333,0.397027391,0.2881,F
0,0,1,0,32.66666667,0.591454403,0.28859,F
0,0,0,0,26.33333333,0.467246346,0.29503,F
0,0,1,0,32.66666667,0.662816149,0.29989,F
1,1,1,0,27.83333333,0.659285858,0.30758,F
1,0,1,0,32.38888889,0.751756063,0.31796,F
0,0,0,1,37.33333333,0.691921995,0.32354,F
0,0,1,0,26.33333333,0.39418028,0.32435,F
0,0,0,1,26.77777778,0.448858556,0.32801,F
0,0,1,0,32.38888889,0.673402817,0.32809,F
0,0,0,1,27.83333333,0.447054671,0.33204,F
2,0,1,0,32.61111111,0.806005042,0.35242,F
0,0,1,0,32.61111111,0.90367746,0.36774,F
0,0,1,0,28.16666667,0.650958959,0.38159,F
0,0,1,0,32.61111111,1.012102315,0.38752,F
0,0,1,0,26,0.515586035,0.39544,F
0,0,1,0,26.11111111,0.613963498,0.42704,F
0,0,1,0,27.83333333,0.598434529,0.45224,F
0,0,1,0,26.11111111,0.704798621,0.45572,F
1,1,1,1,24.44444444,0.612041321,0.46611,F
0,0,1,0,32.77777778,1.187771465,0.48489,F
0,0,1,0,32.38888889,0.923855018,0.50785,F
0,0,1,0,26,0.699578976,0.50796,F
0,0,0,0,26,0.941135949,0.52774,F
1,1,1,0,28.16666667,0.695808692,0.54129,F
0,0,1,0,28.16666667,0.913052645,0.55334,F
0,0,1,0,32.77777778,0.987938793,0.60822,F
0,0,0,0,32.77777778,1.134024232,0.69062,F
0,0,1,0,32.38888889,1.225388435,0.72026,F
0,0,1,0,32.77777778,1.395723263,0.81329,F
0,0,NA,NA,37.83333333,0.162805192,0.04323,M
0,0,NA,NA,34.94444444,0.103588223,0.05003,M
0,0,NA,NA,34.44444444,0.175475616,0.06054,M
0,0,NA,NA,40.22222222,0.166248458,0.07253,M
0,0,NA,NA,34.94444444,0.121201245,0.07299,M
0.666666667,0,NA,NA,27.83333333,0.579111173,0.099936667,M
0,0,NA,NA,34.94444444,0.145470426,0.11095,M
1,0,NA,NA,37.22222222,0.262971558,0.119,M
3,0,NA,NA,37.22222222,0.230285858,0.13529,M
0,0,NA,NA,37.22222222,0.200451154,0.14271,M
0,0,NA,NA,37.77777778,0.133672144,0.14934,M
0,0,NA,NA,37.22222222,0.152117706,0.15052,M
0,0,NA,NA,34.44444444,0.212658787,0.16082,M
3,1,NA,NA,37.77777778,0.132682478,0.1645,M
0.5,0,NA,NA,25.44444444,0.445385716,0.167985,M
1,1,NA,NA,25.38888889,0.319041427,0.17767,M
0,0,NA,NA,32.77777778,0.398233387,0.1928,M
0,0,NA,NA,25.38888889,0.296788366,0.23579,M
0,0,NA,NA,25.44444444,0.421922719,0.24764,M
1,1,NA,NA,24.44444444,0.4684505,0.24885,M
0,0,NA,NA,25.44444444,0.562901049,0.26438,M
1,1,NA,NA,32.66666667,0.609029123,0.27525,M
0,0,NA,NA,26.05555556,0.375555537,0.2759,M
0,0,NA,NA,27.83333333,0.419959684,0.28071,M
0,0,NA,NA,27.83333333,0.472243677,0.30798,M
0,0,NA,NA,24.44444444,0.472717675,0.31277,M
0,0,NA,NA,32.77777778,0.514215418,0.32505,M
0,0,NA,NA,25.44444444,0.384230312,0.3252,M
0,0,NA,NA,26.05555556,0.591838964,0.34063,M
4,4,NA,NA,24.44444444,0.525768556,0.35733,M
0,0,NA,NA,25.44444444,0.501864122,0.37028,M
0.333333333,1,NA,NA,25.38888889,0.63716286,0.38194,M
0,0,NA,NA,32.38888889,0.930312416,0.38522,M
1,1,NA,NA,27.83333333,0.627998164,0.38735,M
0,0,NA,NA,26.05555556,0.592693821,0.4235,M
0,0,NA,NA,32.61111111,0.772117338,0.42521,M
0,0,NA,NA,32.77777778,0.717283328,0.42755,M
0,0,NA,NA,26.77777778,0.690231899,0.43338,M
1,1,NA,NA,24.44444444,0.518670059,0.4402,M
0,0,NA,NA,28.16666667,0.608595788,0.45672,M
0,0,NA,NA,26.11111111,0.489071715,0.47788,M
1,1,NA,NA,32.61111111,1.110182515,0.52481,M
0,0,NA,NA,26.11111111,0.660642446,0.60806,M
0,0,NA,NA,26.77777778,0.733151715,0.6305,M
0,0,NA,NA,26.11111111,0.856043147,0.80474,M
0,0,NA,NA,32.77777778,0.833805171,0.82074,M
2,1,NA,NA,32.77777778,1.234196651,0.93198,M
0,0,NA,NA,25.27777778,0.766338534,1.00646,M
0,0,NA,NA,32.77777778,1.30963315,1.08897,M
